NbElements,HashTable_Insert_ns,OrderedHashTable_Insert_ns,HashTable_Insert_s,OrderedHashTable_Insert_s,HashTable_Single_Insert_ns,OrderedHashTable_Single_Insert_ns,HashTable_Single_Insert_s,OrderedHashTable_Single_Insert_s
1024,168665,215752,0.000168665,0.000215752,240,271,2.4e-07,2.71e-07
2048,380810,520371,0.00038081,0.000520371,741,310,7.41e-07,3.1e-07
4096,1022719,1504578,0.00102272,0.00150458,1373,481,1.373e-06,4.81e-07
8192,3637288,6009595,0.00363729,0.0060096,3176,1553,3.176e-06,1.553e-06
16384,17795991,27755968,0.017796,0.027756,6161,1944,6.161e-06,1.944e-06
32768,88707408,131362295,0.0887074,0.131362,15489,10490,1.5489e-05,1.049e-05
65536,407431721,518312425,0.407432,0.518312,101940,21721,0.00010194,2.1721e-05
131072,1750866584,2164308514,1.75087,2.16431,270694,50394,0.000270694,5.0394e-05
262144,8380514330,9690732896,8.38051,9.69073,484924,93454,0.000484924,9.3454e-05
524288,47302653719,81750464576,47.3027,81.7505,587896,189834,0.000587896,0.000189834
1048576,335807152045,489169963187,335.807,489.17,1837386,334644,0.00183739,0.000334644
