NbElements,HashTable_Remove_ns,OrderedHashTable_Remove_ns,HashTable_Remove_s,OrderedHashTable_Remove_s,HashTable_Single_Remove_ns,OrderedHashTable_Single_Remove_ns,HashTable_Single_Remove_s,OrderedHashTable_Single_Remove_s
1,75,115,7.5e-08,1.15e-07,91,141,9.1e-08,1.41e-07
2,140,210,1.4e-07,2.1e-07,92,132,9.2e-08,1.32e-07
4,183,337,1.83e-07,3.37e-07,82,149,8.2e-08,1.49e-07
8,296,471,2.96e-07,4.71e-07,75,141,7.5e-08,1.41e-07
16,634,1025,6.34e-07,1.025e-06,100,212,1e-07,2.12e-07
32,965,1614,9.65e-07,1.614e-06,80,265,8e-08,2.65e-07
64,2411,4158,2.411e-06,4.158e-06,111,569,1.11e-07,5.69e-07
128,4552,8257,4.552e-06,8.257e-06,116,2366,1.16e-07,2.366e-06
256,9368,16079,9.368e-06,1.6079e-05,201,1920,2.01e-07,1.92e-06
512,12435,17508,1.2435e-05,1.7508e-05,137,2080,1.37e-07,2.08e-06
1024,21415,37158,2.1415e-05,3.7158e-05,164,4316,1.64e-07,4.316e-06
2048,43527,75794,4.3527e-05,7.5794e-05,227,8255,2.27e-07,8.255e-06
4096,89926,139347,8.9926e-05,0.000139347,345,15706,3.45e-07,1.5706e-05
8192,181937,282165,0.000181937,0.000282165,672,34124,6.72e-07,3.4124e-05
16384,379927,611161,0.000379927,0.000611161,1208,71743,1.208e-06,7.1743e-05
32768,882978,1191918,0.000882978,0.00119192,3082,138788,3.082e-06,0.000138788
65536,2403214,2369248,0.00240321,0.00236925,9552,286268,9.552e-06,0.000286268
131072,4917612,5647424,0.00491761,0.00564742,31007,617932,3.1007e-05,0.000617932
262144,9530750,15811165,0.00953075,0.0158112,78917,1699480,7.8917e-05,0.00169948
