NbElements,HashTable_Search_ns,OrderedHashTable_Search_ns,HashTable_Search_s,OrderedHashTable_Search_s,HashTable_Single_Search_ns,OrderedHashTable_Single_Search_ns,HashTable_Single_Search_s,OrderedHashTable_Single_Search_s
1,33,31,3.3e-08,3.1e-08,29,30,2.9e-08,3e-08
2,29,32,2.9e-08,3.2e-08,32,29,3.2e-08,2.9e-08
4,30,31,3e-08,3.1e-08,31,31,3.1e-08,3.1e-08
8,30,30,3e-08,3e-08,30,32,3e-08,3.2e-08
16,32,29,3.2e-08,2.9e-08,31,28,3.1e-08,2.8e-08
32,31,30,3.1e-08,3e-08,31,28,3.1e-08,2.8e-08
64,31,30,3.1e-08,3e-08,30,33,3e-08,3.3e-08
128,33,34,3.3e-08,3.4e-08,31,31,3.1e-08,3.1e-08
256,60,30,6e-08,3e-08,31,32,3.1e-08,3.2e-08
512,29,27,2.9e-08,2.7e-08,29,30,2.9e-08,3e-08
1024,30,30,3e-08,3e-08,26,28,2.6e-08,2.8e-08
2048,32,30,3.2e-08,3e-08,28,30,2.8e-08,3e-08
4096,28,29,2.8e-08,2.9e-08,29,29,2.9e-08,2.9e-08
8192,32,30,3.2e-08,3e-08,30,28,3e-08,2.8e-08
16384,33,32,3.3e-08,3.2e-08,30,30,3e-08,3e-08
32768,33,32,3.3e-08,3.2e-08,29,29,2.9e-08,2.9e-08
65536,58,31,5.8e-08,3.1e-08,27,29,2.7e-08,2.9e-08
131072,92,28,9.2e-08,2.8e-08,28,30,2.8e-08,3e-08
262144,104,30,1.04e-07,3e-08,28,29,2.8e-08,2.9e-08
