NbElements,HashTable_Insert_ns,OrderedHashTable_Insert_ns,HashTable_Insert_s,OrderedHashTable_Insert_s,HashTable_Single_Insert_ns,OrderedHashTable_Single_Insert_ns,HashTable_Single_Insert_s,OrderedHashTable_Single_Insert_s
10,1184,1797,1.184e-06,1.797e-06,46,80,4.6e-08,8e-08
20,2402,4024,2.402e-06,4.024e-06,54,91,5.4e-08,9.1e-08
40,4454,7438,4.454e-06,7.438e-06,56,92,5.6e-08,9.2e-08
80,8632,15761,8.632e-06,1.5761e-05,56,83,5.6e-08,8.3e-08
160,17823,30439,1.7823e-05,3.0439e-05,54,89,5.4e-08,8.9e-08
320,37071,60353,3.7071e-05,6.0353e-05,54,83,5.4e-08,8.3e-08
640,80276,167594,8.0276e-05,0.000167594,61,100,6.1e-08,1e-07
1280,189725,395070,0.000189725,0.00039507,78,121,7.8e-08,1.21e-07
2560,494489,963348,0.000494489,0.000963348,109,128,1.09e-07,1.28e-07
5120,1610550,2911408,0.00161055,0.00291141,129,136,1.29e-07,1.36e-07
10240,6608480,11081303,0.00660848,0.0110813,218,277,2.18e-07,2.77e-07
20480,33091030,45470682,0.033091,0.0454707,368,277,3.68e-07,2.77e-07
40960,156218359,193668078,0.156218,0.193668,419,272,4.19e-07,2.72e-07
81920,695903685,950530399,0.695904,0.95053,524,312,5.24e-07,3.12e-07
