NbElements,HashTable_Remove_ns,OrderedHashTable_Remove_ns,HashTable_Remove_s,OrderedHashTable_Remove_s,HashTable_Single_Remove_ns,OrderedHashTable_Single_Remove_ns,HashTable_Single_Remove_s,OrderedHashTable_Single_Remove_s
1,220,310,2.2e-07,3.1e-07,170,220,1.7e-07,2.2e-07
2,380,610,3.8e-07,6.1e-07,170,290,1.7e-07,2.9e-07
4,570,760,5.7e-07,7.6e-07,110,180,1.1e-07,1.8e-07
8,990,1380,9.9e-07,1.38e-06,100,190,1e-07,1.9e-07
16,1910,2710,1.91e-06,2.71e-06,100,190,1e-07,1.9e-07
32,3710,5310,3.71e-06,5.31e-06,120,170,1.2e-07,1.7e-07
64,7620,11080,7.62e-06,1.108e-05,130,170,1.3e-07,1.7e-07
128,14630,20800,1.463e-05,2.08e-05,140,170,1.4e-07,1.7e-07
256,29400,47080,2.94e-05,4.708e-05,130,180,1.3e-07,1.8e-07
512,59070,115010,5.907e-05,0.00011501,160,210,1.6e-07,2.1e-07
1024,133660,222920,0.00013366,0.00022292,120,180,1.2e-07,1.8e-07
2048,257900,363470,0.0002579,0.00036347,140,180,1.4e-07,1.8e-07
4096,515590,761040,0.00051559,0.00076104,130,200,1.3e-07,2e-07
8192,1094850,1531010,0.00109485,0.00153101,440,200,4.4e-07,2e-07
16384,2009010,3060320,0.00200901,0.00306032,150,190,1.5e-07,1.9e-07
32768,4466390,7185750,0.00446639,0.00718575,190,200,1.9e-07,2e-07
65536,8340800,12584680,0.0083408,0.0125847,190,180,1.9e-07,1.8e-07
131072,15520490,24655980,0.0155205,0.024656,160,180,1.6e-07,1.8e-07
262144,30569400,47219180,0.0305694,0.0472192,390,180,3.9e-07,1.8e-07
