NbElements,HashTable_Search_ns,OrderedHashTable_Search_ns,HashTable_Search_s,OrderedHashTable_Search_s,HashTable_Single_Search_ns,OrderedHashTable_Single_Search_ns,HashTable_Single_Search_s,OrderedHashTable_Single_Search_s
10,30,29,3e-08,2.9e-08,28,30,2.8e-08,3e-08
20,30,28,3e-08,2.8e-08,29,30,2.9e-08,3e-08
40,28,30,2.8e-08,3e-08,28,29,2.8e-08,2.9e-08
80,30,30,3e-08,3e-08,29,29,2.9e-08,2.9e-08
160,28,27,2.8e-08,2.7e-08,29,31,2.9e-08,3.1e-08
320,28,28,2.8e-08,2.8e-08,29,28,2.9e-08,2.8e-08
640,28,27,2.8e-08,2.7e-08,27,27,2.7e-08,2.7e-08
1280,30,29,3e-08,2.9e-08,29,28,2.9e-08,2.8e-08
2560,29,29,2.9e-08,2.9e-08,29,29,2.9e-08,2.9e-08
5120,29,30,2.9e-08,3e-08,29,30,2.9e-08,3e-08
10240,31,29,3.1e-08,2.9e-08,27,29,2.7e-08,2.9e-08
20480,32,31,3.2e-08,3.1e-08,441,28,4.41e-07,2.8e-08
40960,35,32,3.5e-08,3.2e-08,28,29,2.8e-08,2.9e-08
81920,39,34,3.9e-08,3.4e-08,28,30,2.8e-08,3e-08
